FullName,PhoneNO,Address,TotalAdults,TotalKids,EntryTime,Duration,ExpectedExit,EntryDate,totalCost
sushant,987654321,kathmandu,2,0,2:50 PM,1,3:50 PM,1/2/2022,600
michah bell,987654323,kathmandu,2,0,12:27 PM,2,2:27 PM,1/3/2022,1200
tom clancy,098765679,patan,2,1,12:29 PM,1,1:29 PM,1/3/2022,850
jefrey bez,0987656789,patan,2,0,12:29 PM,2,2:29 PM,1/3/2022,1200
tom raider,0987234232342,patan,2,1,1:05 PM,2,3:05 PM,1/3/2022,1700
Ijeka Laesa,784112386966,0987678992,2,0,1:06 PM,2,3:06 PM,1/3/2022,1200
Oden Jr,098653526177,Patan,2,0,1:06 PM,1,2:06 PM,1/3/2022,600
David Clowe,09875783726346,kathmandu,1,0,1:07 PM,6,7:07 PM,1/3/2022,1800
Bill Tocae,0976456789,balaju,2,0,1:07 PM,6,7:07 PM,1/3/2022,3600
Updane Wsac,7895412357,kathamandu,2,0,1:08 PM,3,4:08 PM,1/3/2022,1800
Uilasd Qweasx,7471511215,kathmandu,7,0,1:08 PM,2,3:08 PM,1/3/2022,4200
Drgwe Stas,1235748952,kathmandu,7,0,1:14 PM,1,2:14 PM,1/3/2022,2100
sushant pant,987865445678,kathmandu,7,0,1:16 PM,1,2:16 PM,1/3/2022,2100
sushant pt,0987654321,kathmandu,9,0,1:16 PM,1,2:16 PM,1/3/2022,2700
pant susgant,98765545678,kathmandu,4,0,1:19 PM,1,2:19 PM,1/3/2022,1200
QWERTYUI,123456789,lkjhgfsa,11,0,1:20 PM,1,2:20 PM,1/3/2022,3300
gsadvjasbd asdds,98997656879,sabdjhbcas,11,0,1:23 PM,1,2:23 PM,1/3/2022,3300
sadfsadc,skdncmkas,sadmacs,4,0,1:24 PM,1,2:24 PM,1/3/2022,1200
calsac nkjn,098754321886,kathmandu,4,0,1:27 PM,1,2:27 PM,1/3/2022,1200
sushant,9845678,saknascca,4,0,1:35 PM,1,2:35 PM,1/3/2022,1200
asdasca,741236589,kathmandu,4,0,1:37 PM,1,2:37 PM,1/3/2022,1200
sacbajcs,741236985,kathmandu,4,0,1:40 PM,1,2:40 PM,1/3/2022,1200
aaksuc sacx jn,45678238130,bhaktapur,4,0,1:42 PM,1,2:42 PM,1/3/2022,1200
dusac tyas,453456212,patan,4,0,1:49 PM,1,2:49 PM,1/3/2022,1200
